rank,State,Pop
1,California,39613500
2,Texas,29730300
3,Florida,21944600
4,New York,19300000
5,Pennsylvania,12804100
6,Illinois,12569300
7,Ohio,11714600
8,Georgia,10830000
9,North Carolina,10701000
10,Michigan,9992430
11,New Jersey,8874520
12,Virginia,8603980
13,Washington,7796940
14,Arizona,7520100
15,Tennessee,6944260
16,Massachusetts,6912240
17,Indiana,6805660
18,Missouri,6169040
19,Maryland,6065440
20,Colorado,5893630
21,Wisconsin,5852490
22,Minnesota,5706400
23,South Carolina,5277830
24,Alabama,4934190
25,Louisiana,4627000
26,Kentucky,4480710
27,Oregon,4289440
28,Oklahoma,3990440
29,Connecticut,3552820
30,Utah,3310770
31,Puerto Rico,3194370
32,Nevada,3185790
33,Iowa,3167970
34,Arkansas,3033950
35,Mississippi,2966410
36,Kansas,2917220
37,New Mexico,2105000
38,Nebraska,1952000
39,Idaho,1860120
40,West Virginia,1767860
41,Hawaii,1406430
42,New Hampshire,1372200
43,Maine,1354520
44,Montana,1085000
45,Rhode Island,1061510
46,Delaware,990334
47,South Dakota,896581
48,North Dakota,770026
49,Alaska,724357
50,District of Columbia,714153
51,Vermont,623251
52,Wyoming,581075
